[2020-01-13T15:32:07] T = 1440000 / 50000000 | Avg. reward: -198.89822583563625 | Avg. Q: -9.82656192779541
[2020-01-13T15:51:04] T = 1450000 / 50000000 | Avg. reward: -198.8946709564142 | Avg. Q: -9.823226928710938
[2020-01-13T16:10:02] T = 1460000 / 50000000 | Avg. reward: -198.89727425027638 | Avg. Q: -9.814482688903809
[2020-01-13T16:29:00] T = 1470000 / 50000000 | Avg. reward: -198.83521794911474 | Avg. Q: -9.816329956054688
[2020-01-13T16:47:58] T = 1480000 / 50000000 | Avg. reward: -198.89266374764964 | Avg. Q: -9.833770751953125
[2020-01-13T17:06:56] T = 1490000 / 50000000 | Avg. reward: -198.8923438653536 | Avg. Q: -9.835062980651855
[2020-01-13T17:25:53] T = 1500000 / 50000000 | Avg. reward: -197.7741798374243 | Avg. Q: -9.832720756530762
[2020-01-13T17:44:54] T = 1510000 / 50000000 | Avg. reward: -197.78992353867739 | Avg. Q: -9.833355903625488
[2020-01-13T18:03:53] T = 1520000 / 50000000 | Avg. reward: -197.71321721292566 | Avg. Q: -9.816329956054688
[2020-01-13T18:22:53] T = 1530000 / 50000000 | Avg. reward: -197.79394121909513 | Avg. Q: -9.834419250488281
[2020-01-13T18:41:49] T = 1540000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.837323188781738
[2020-01-13T19:00:48] T = 1550000 / 50000000 | Avg. reward: -198.90213170798495 | Avg. Q: -9.824910163879395
[2020-01-13T19:19:47] T = 1560000 / 50000000 | Avg. reward: -197.77738153840414 | Avg. Q: -9.823514938354492
[2020-01-13T19:38:45] T = 1570000 / 50000000 | Avg. reward: -198.85396736126393 | Avg. Q: -9.838988304138184
[2020-01-13T19:57:42] T = 1580000 / 50000000 | Avg. reward: -198.84227343939244 | Avg. Q: -9.807221412658691
[2020-01-13T20:16:38] T = 1590000 / 50000000 | Avg. reward: -197.74676593555137 | Avg. Q: -9.842713356018066
[2020-01-13T20:35:35] T = 1600000 / 50000000 | Avg. reward: -198.9021863812767 | Avg. Q: -9.829405784606934
[2020-01-13T20:54:35] T = 1610000 / 50000000 | Avg. reward: -196.61398562321904 | Avg. Q: -9.828664779663086
[2020-01-13T21:13:32] T = 1620000 / 50000000 | Avg. reward: -198.87013497540727 | Avg. Q: -9.816530227661133
[2020-01-13T21:32:32] T = 1630000 / 50000000 | Avg. reward: -197.74603718704543 | Avg. Q: -9.834388732910156
[2020-01-13T21:51:29] T = 1640000 / 50000000 | Avg. reward: -198.84490958007052 | Avg. Q: -9.824068069458008
[2020-01-13T22:10:32] T = 1650000 / 50000000 | Avg. reward: -198.8742229099106 | Avg. Q: -9.856158256530762
[2020-01-13T22:29:31] T = 1660000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.817861557006836
[2020-01-13T22:48:29] T = 1670000 / 50000000 | Avg. reward: -197.76856469408608 | Avg. Q: -9.804581642150879
[2020-01-13T23:07:29] T = 1680000 / 50000000 | Avg. reward: -198.83461504370905 | Avg. Q: -9.82964038848877
[2020-01-13T23:26:29] T = 1690000 / 50000000 | Avg. reward: -198.90155172917991 | Avg. Q: -9.831398010253906
[2020-01-13T23:45:29] T = 1700000 / 50000000 | Avg. reward: -197.7307364232745 | Avg. Q: -9.825650215148926
[2020-01-14T00:04:27] T = 1710000 / 50000000 | Avg. reward: -198.9000178795494 | Avg. Q: -9.839576721191406
[2020-01-14T00:23:25] T = 1720000 / 50000000 | Avg. reward: -198.84039065741933 | Avg. Q: -9.816256523132324
[2020-01-14T00:42:25] T = 1730000 / 50000000 | Avg. reward: -198.8897202262841 | Avg. Q: -9.843314170837402
[2020-01-14T01:01:24] T = 1740000 / 50000000 | Avg. reward: -198.85246809350326 | Avg. Q: -9.826876640319824
